,disython_sub2,disython_sub1,ratio
48,1,5,0.003342860590841962
106,11,9,0.0033080718840816717
105,10,9,0.0032489114279525863
170,3,15,0.0032375117387317006
116,9,10,0.0031844442199448174
222,7,19,0.0031608586560395342
120,1,11,0.0031248906710839787
200,9,17,0.003100912014446943
206,3,18,0.0030763437187122764
86,3,8,0.0030661233076866535
190,11,16,0.003026224395413553
102,7,9,0.003023669292657147
137,6,12,0.003019738365339598
174,7,15,0.003007159397923447
13,2,2,0.002994383884141421
62,3,6,0.002957040074624725
66,7,6,0.002931489047060669
221,6,19,0.0029193031723762737
44,9,4,0.0028807800846643128
65,6,6,0.0028670218390528957
108,1,10,0.002804913187435656
192,1,17,0.00279940988919109
98,3,9,0.0027795587062374753
101,6,9,0.002778182881676334
230,3,20,0.0027720899443341366
24,1,3,0.0027433941749160453
127,8,11,0.002730029022036384
52,5,5,0.0027166638691567247
32,9,3,0.002705264179935841
215,12,18,0.0026909162952267925
208,5,18,0.002673030575931955
134,3,12,0.0026317558390977114
94,11,8,0.0026215354280720877
164,9,14,0.00261917687168156
203,12,17,0.0026181941398521705
167,12,14,0.002612297748875852
133,2,12,0.0025731850220662607
36,1,4,0.0025464547163069414
181,2,16,0.0025240484305969245
145,2,13,0.0024939768366176885
156,1,14,0.002486114981982594
89,6,8,0.0024778600346157453
5,6,1,0.0024707843654441617
226,11,19,0.0024550606561739743
2,3,1,0.002393148550922609
115,8,10,0.002344405052185027
124,5,11,0.0023015579444237632
10,11,1,0.0022852445960559443
217,2,19,0.002278955112347869
163,8,14,0.0022331598090984455
47,12,4,0.0022107535233884296
35,12,3,0.0022085915133637783
112,5,10,0.00220760878153439
80,9,7,0.00218913342314192
31,8,3,0.002178519919384544
97,2,9,0.0021779302802869107
85,2,8,0.0021622065710167233
169,2,15,0.0021561136336745246
43,8,4,0.0021423553880631097
160,5,14,0.0021409795635019685
199,8,17,0.002139800285306703
61,2,6,0.002084374210129292
40,5,4,0.002032485969537671
79,8,7,0.0019849217489953533
196,5,17,0.0019157374282065258
28,5,3,0.0019076790272055547
235,8,20,0.0018292570272204919
72,1,7,0.0018078334733398612
131,12,11,0.0017925028568014283
188,9,16,0.0017303942051841857
239,12,20,0.0017258736387690064
236,9,20,0.0017191910623291775
155,12,13,0.0016360519495630579
119,12,10,0.0016297624658549836
152,9,13,0.0016201316939269917
76,5,7,0.0016167904057070783
218,3,19,0.0015943841199970597
23,12,2,0.0015904531926795122
228,1,20,0.0015814120598491546
180,1,16,0.0015025969671323375
8,9,1,0.0014998453180100546
151,8,13,0.0014874628969597822
11,12,1,0.0013980343004855872
20,9,2,0.0013638352328229288
187,8,16,0.0013410358543811565
7,8,1,0.0013357291025024674
144,1,13,0.0013321912679166755
232,5,20,0.0013247225060133358
19,8,2,0.0012930785411070839
176,9,15,0.0012134772629267565
12,1,2,0.0011967708218271818
223,8,19,0.0011934295336072656
148,5,13,0.0011704336087996169
191,12,16,0.0011682715987749656
68,9,6,0.0011429171175767873
16,5,2,0.0011262106764772129
172,5,15,0.0011203142855008925
67,8,6,0.0011185453682079959
1,2,1,0.0011169729972809776
216,1,19,0.0011087180499141287
92,9,8,0.0010963356288638557
224,9,19,0.0010910288769851674
179,12,15,0.0010890634133263939
139,8,12,0.0010867048569358656
132,1,12,0.001083953207813582
175,8,15,0.0010717673331291878
168,1,15,0.0010236134734892366
184,5,16,0.0010226307416598497
91,8,8,0.0010100517742436996
140,9,12,0.001004351929633257
104,9,9,0.000997472806827549
136,5,12,0.0009666150273848055
60,1,6,0.0009442087416747872
64,5,6,0.0009149233331590622
227,12,19,0.000894089418376063
103,8,9,0.0008830828218869318
107,12,9,0.0008712900399342905
96,1,9,0.0008514388569806784
100,5,9,0.0008235292730260944
220,5,19,0.0008101641201464348
84,1,8,0.0008036780900724823
143,12,12,0.0007578827868230598
88,5,8,0.0007327248519907592
4,5,1,0.0006997050625233646
83,12,7,0.0006075248169268873
0,1,1,0.0005788290475087945
59,12,5,0.0005505263708224558
95,12,8,0.00031506382450139167
71,12,6,0.00030169867162173174
213,10,18,0.00012185874684395671
129,10,11,0.0001204829222828153
201,10,17,0.00010515230574438203
237,10,20,9.866627567042951e-05
165,10,14,9.611117291402399e-05
153,10,13,7.56703508627796e-05
189,10,16,6.544993983715742e-05
225,10,19,5.56226215432899e-05
141,10,12,5.385370425039378e-05
177,10,15,5.1102055128110884e-05
